"title","year_release","box_office","director","number_of_subjects","type_of_subject","subject_race","subject_sex"
"The Young Victoria",2009,1.1e+07,"Jean-Marc Vall<U+0329>e",1,"Historical","White","Female"
"They Died with Their Boots On",1941,NA,"Raoul Walsh",1,"Military","White","Male"
"Thirteen",2003,4600000,"Catherine Hardwicke",2,"Other","White","Female"
"Thirteen",2003,4600000,"Catherine Hardwicke",2,"Other",NA,"Female"
"Thirty Two Short Films About Glenn Gould",1993,1570000,"Fran<U+0324>ois Girard",1,"Musician","White","Male"
"This Boy's Life",1993,4100000,"Michael Caton-Jones",1,"Other",NA,"Male"
"This Is Elvis",1981,NA,"Malcolm Leo, Andrew Solt",1,"Musician","White","Male"
"Thomas Kinkade's Christmas Cottage",2008,NA,"Michael Campus",1,"Artist","White","Male"
"Three Little Words",1950,NA,"Richard Thorpe",2,"Musician","White","Male"
"Three Little Words",1950,NA,"Richard Thorpe",2,"Musician","White","Male"
"Till the Clouds Roll By",1946,6720000,"Richard Whorf",1,"Musician","White","Male"
"To Hell and Back",1955,NA,"Jesse Hibbs",1,"Military","White","Male"
"To Kill a King",2003,NA,"Mike Barker",2,"Historical","White","Male"
"To Kill a King",2003,NA,"Mike Barker",2,"Historical","White","Male"
"To Walk with Lions",1999,NA,"Carl Schultz",2,"Other",NA,"Male"
"To Walk with Lions",1999,NA,"Carl Schultz",2,"Other",NA,"Male"
"To Write Love on Her Arms",2012,NA,"Nathan Frankowski",1,"Other",NA,"Female"
"Tom & Viv",1994,539000,"Brian Gilbert",2,"Author","White","Male"
"Tom & Viv",1994,539000,"Brian Gilbert",2,"Author","White","Female"
"Topsy-Turvy",1999,6200000,"Mike Leigh",2,"Musician","White","Male"
"Topsy-Turvy",1999,6200000,"Mike Leigh",2,"Author","White","Male"
"Total Eclipse",1995,340000,"Agnieszka Holland",2,"Author (poet)",NA,"Male"
"Total Eclipse",1995,340000,"Agnieszka Holland",2,"Author (poet)",NA,"Male"
"Triumph of the Spirit",1989,409000,"Robert M. Young",1,"Athlete","White","Male"
"Tucker: The Man and His Dream",1988,19700000,"Francis Ford Coppola",1,"Other",NA,"Male"
"Unbroken",2014,1.16e+08,"Angelina Jolie",1,"Athlete / military","White","Male"
"Valentino",1977,NA,"Ken Russell",1,"Actor","White","Male"
"Vatel",2000,49500,"Roland Joff<U+0329>",1,"Other","White","Male"
"Veronica Guerin",2003,1570000,"Joel Schumacher",1,"Media","White","Female"
"Vincent & Theo",1990,2230000,"Robert Altman",2,"Other","White","Male"
"Vincent & Theo",1990,2230000,"Robert Altman",2,"Artist","White","Male"
"VIPs",2010,NA,"Toniko Melo",1,"Criminal","White","Male"
"Viva Knievel!",1977,NA,"Gordon Douglas",1,"Athlete","White","Male"
"Viva Villa!",1934,1110000,"Jack Conway",1,"Military","Hispanic","Male"
"Viva Zapata!",1952,NA,"Elia Kazan",1,"Activist","Hispanic","Male"
"Von Richthofen and Brown",1971,NA,"Roger Corman",2,"Military","White","Male"
"Von Richthofen and Brown",1971,NA,"Roger Corman",2,"Military","White","Male"
"W.",2008,25500000,"Oliver Stone",1,"World leader","White","Male"
"Walk the Line",2005,1.2e+08,"James Mangold",1,"Musician","White","Male"
"Walker",1987,257000,"Alex Cox",1,"Other","White","Male"
"Walking Tall Part II",1975,NA,"Earl Bellamy",1,"Other",NA,"Male"
"What We Do Is Secret",2007,58800,"Rodger Grossman",1,"Singer",NA,"Male"
"What's Love Got to Do with It",1993,39100000,"Brian Gibson",1,"Singer","Multi racial","Female"
"When Did You Last See Your Father?",2007,1070000,"Anand Tucker",1,"Other","White","Male"
"Where the Buffalo Roam",1980,NA,"Art Linson",1,"Media",NA,"Male"
"WhiteLightnin'",2009,NA,"Dominic Murphy",1,"Other",NA,"Male"
"Why Do Fools Fall in Love",1998,12400000,"Gregory Nava",1,"Musician","African","Male"
"Wild",2014,37900000,"Jean-Marc Vall<U+0329>e",1,"Other",NA,"Female"
"Wild Bill",1995,2170000,"Walter Hill",1,"Historical","White","Male"
"Wilde",1997,2160000,"Brian Gilbert",1,"Author","White","Male"
"Wilson",1944,2e+06,"Henry King",1,"World leader","White","Male"
"Winnie Mandela",2011,NA,"Darrell Roodt",1,"Government","African","Female"
"Wired",1989,1090000,"Larry Peerce",1,"Comedian",NA,"Male"
"With a Song in My Heart",1952,NA,"Walter Lang",1,"Musician",NA,"Female"
"Without Limits",1998,777000,"Robert Towne",1,"Athlete","White","Male"
"Wittgenstein",1993,NA,"Derek Jarman",1,"Academic (Philosopher)","White","Male"
"Words and Music",1948,NA,"Norman Taurog",2,"Musician","White","Male"
"Words and Music",1948,NA,"Norman Taurog",2,"Musician","White","Male"
"Wyatt Earp",1994,25100000,"Lawrence Kasdan",1,"Other","White","Male"
"Yankee Doodle Dandy",1942,NA,"Michael Curtiz",1,"Musician","White","Male"
"Young Bess",1953,NA,"George Sidney",1,"Historical","White","Female"
"Young Cassidy",1965,NA,"Jack Cardiff",1,"Author","White","Male"
"Young Man with a Horn",1950,NA,"Michael Curtiz",1,"Musician","White","Male"
"Young Mr. Lincoln",1939,NA,"John Ford",1,"World leader","White","Male"
"Young Tom Edison",1940,NA,"Norman Taurog",1,"Other","White","Male"
"Young Winston",1972,NA,"Richard Attenborough",1,"World leader","White","Male"
"Your Cheatin' Heart",1964,NA,"Gene Nelson",1,"Musician",NA,"Male"
